t_k	Y1	Y2	Y3
0.000625	1.00063	1.00094	0.999375
0.00125	1.00125	1.00187	0.998749
0.001875	1.00188	1.00281	0.998122
0.00250001	1.0025	1.00375	0.997494
0.00312501	1.00313	1.00469	0.996865
0.00375002	1.00375	1.00562	0.996235
0.00437504	1.00438	1.00656	0.995604
0.00500006	1.00501	1.0075	0.994973
0.00562509	1.00563	1.00844	0.99434
0.00625012	1.00626	1.00937	0.993706
0.00687516	1.00689	1.01031	0.993071
0.00750022	1.00751	1.01125	0.992435
0.00812528	1.00814	1.01219	0.991798
0.00875036	1.00877	1.01312	0.99116
0.00937544	1.0094	1.01406	0.990522
0.0100005	1.01002	1.015	0.989882
0.0106257	1.01065	1.01594	0.989241
0.0112508	1.01128	1.01687	0.988599
0.0118759	1.01191	1.01781	0.987956
0.0125011	1.01254	1.01875	0.987312
0.0131263	1.01317	1.01969	0.986667
0.0137515	1.01379	1.02062	0.986021
0.0143767	1.01442	1.02156	0.985375
0.0150019	1.01505	1.0225	0.984727
0.0156272	1.01568	1.02344	0.984078
0.0162525	1.01631	1.02437	0.983428
0.0168778	1.01694	1.02531	0.982777
0.0175031	1.01757	1.02625	0.982125
0.0181285	1.0182	1.02719	0.981472
0.0187539	1.01883	1.02812	0.980818
0.0193793	1.01946	1.02906	0.980162
0.0200048	1.02009	1.03	0.979506
0.0206302	1.02073	1.03094	0.978849
0.0212557	1.02136	1.03187	0.978191
0.0218813	1.02199	1.03281	0.977532
0.0225068	1.02262	1.03375	0.976871
0.0231325	1.02325	1.03469	0.97621
0.0237581	1.02388	1.03562	0.975548
0.0243838	1.02452	1.03656	0.974884
0.0250095	1.02515	1.0375	0.97422
0.0256352	1.02578	1.03844	0.973554
0.026261	1.02641	1.03937	0.972887
0.0268869	1.02705	1.04031	0.97222
0.0275127	1.02768	1.04125	0.971551
0.0281386	1.02831	1.04219	0.970881
0.0287646	1.02895	1.04312	0.970211
0.0293906	1.02958	1.04406	0.969539
0.0300166	1.03021	1.045	0.968866
0.0306427	1.03085	1.04594	0.968192
0.0312689	1.03148	1.04687	0.967517
0.0318951	1.03212	1.04781	0.96684
0.0325213	1.03275	1.04875	0.966163
0.0331476	1.03338	1.04969	0.965485
0.0337739	1.03402	1.05062	0.964805
0.0344003	1.03465	1.05156	0.964125
0.0350268	1.03529	1.0525	0.963443
0.0356533	1.03592	1.05343	0.962761
0.0362798	1.03656	1.05437	0.962077
0.0369065	1.0372	1.05531	0.961392
0.0375331	1.03783	1.05625	0.960706
0.0381599	1.03847	1.05718	0.960019
0.0387867	1.0391	1.05812	0.959331
0.0394135	1.03974	1.05906	0.958642
0.0400404	1.04038	1.06	0.957951
0.0406674	1.04101	1.06093	0.95726
0.0412945	1.04165	1.06187	0.956567
0.0419216	1.04229	1.06281	0.955874
0.0425487	1.04292	1.06375	0.955179
0.043176	1.04356	1.06468	0.954483
0.0438033	1.0442	1.06562	0.953786
0.0444307	1.04484	1.06656	0.953088
0.0450582	1.04547	1.06749	0.952389
0.0456857	1.04611	1.06843	0.951688
0.0463133	1.04675	1.06937	0.950987
0.046941	1.04739	1.07031	0.950284
0.0475687	1.04803	1.07124	0.949581
0.0481966	1.04867	1.07218	0.948876
0.0488245	1.0493	1.07312	0.94817
0.0494525	1.04994	1.07405	0.947463
0.0500805	1.05058	1.07499	0.946754
0.0507087	1.05122	1.07593	0.946045
0.0513369	1.05186	1.07687	0.945334
0.0519652	1.0525	1.0778	0.944623
0.0525937	1.05314	1.07874	0.94391
0.0532221	1.05378	1.07968	0.943196
0.0538507	1.05442	1.08061	0.942481
0.0544794	1.05506	1.08155	0.941764
0.0551082	1.0557	1.08249	0.941047
0.055737	1.05634	1.08343	0.940328
0.056366	1.05698	1.08436	0.939608
0.056995	1.05762	1.0853	0.938887
0.0576241	1.05826	1.08624	0.938165
0.0582534	1.05891	1.08717	0.937442
0.0588827	1.05955	1.08811	0.936717
0.0595121	1.06019	1.08905	0.935992
0.0601417	1.06083	1.08999	0.935265
0.0607713	1.06147	1.09092	0.934537
0.061401	1.06211	1.09186	0.933808
0.0620308	1.06276	1.0928	0.933077
0.0626608	1.0634	1.09373	0.932346
0.0632908	1.06404	1.09467	0.931613
0.063921	1.06468	1.09561	0.930879
0.0645513	1.06533	1.09654	0.930144
0.0651816	1.06597	1.09748	0.929407
0.0658121	1.06661	1.09842	0.92867
0.0664427	1.06726	1.09936	0.927931
0.0670734	1.0679	1.10029	0.927191
0.0677042	1.06854	1.10123	0.92645
0.0683352	1.06919	1.10217	0.925707
0.0689663	1.06983	1.1031	0.924964
0.0695974	1.07047	1.10404	0.924219
0.0702287	1.07112	1.10498	0.923473
0.0708602	1.07176	1.10591	0.922725
0.0714917	1.07241	1.10685	0.921977
0.0721234	1.07305	1.10779	0.921227
0.0727552	1.0737	1.10872	0.920476
0.0733871	1.07434	1.10966	0.919724
0.0740192	1.07499	1.1106	0.91897
0.0746513	1.07563	1.11153	0.918215
0.0752836	1.07628	1.11247	0.917459
0.0759161	1.07692	1.11341	0.916702
0.0765487	1.07757	1.11435	0.915944
0.0771814	1.07821	1.11528	0.915184
0.0778142	1.07886	1.11622	0.914423
0.0784472	1.07951	1.11716	0.913661
0.0790804	1.08015	1.11809	0.912897
0.0797136	1.0808	1.11903	0.912132
0.080347	1.08145	1.11997	0.911366
0.0809806	1.08209	1.1209	0.910599
0.0816143	1.08274	1.12184	0.90983
0.0822482	1.08339	1.12278	0.90906
0.0828822	1.08403	1.12371	0.908289
0.0835163	1.08468	1.12465	0.907517
0.0841506	1.08533	1.12558	0.906743
0.084785	1.08598	1.12652	0.905968
0.0854196	1.08662	1.12746	0.905191
0.0860544	1.08727	1.12839	0.904414
0.0866893	1.08792	1.12933	0.903635
0.0873244	1.08857	1.13027	0.902855
0.0879596	1.08922	1.1312	0.902073
0.088595	1.08986	1.13214	0.90129
0.0892306	1.09051	1.13308	0.900506
0.0898663	1.09116	1.13401	0.89972
0.0905022	1.09181	1.13495	0.898934
0.0911382	1.09246	1.13589	0.898145
0.0917745	1.09311	1.13682	0.897356
0.0924108	1.09376	1.13776	0.896565
0.0930474	1.09441	1.1387	0.895773
0.0936841	1.09506	1.13963	0.894979
0.0943211	1.09571	1.14057	0.894185
0.0949581	1.09636	1.1415	0.893388
0.0955954	1.097	1.14244	0.892591
0.0962329	1.09765	1.14338	0.891792
0.0968705	1.09831	1.14431	0.890992
0.0975083	1.09896	1.14525	0.89019
0.0981463	1.09961	1.14619	0.889387
0.0987845	1.10026	1.14712	0.888583
0.0994228	1.10091	1.14806	0.887777
0.100061	1.10156	1.14899	0.88697
0.1007	1.10221	1.14993	0.886162
0.101339	1.10286	1.15087	0.885352
0.101978	1.10351	1.1518	0.884541
0.102618	1.10416	1.15274	0.883728
0.103257	1.10481	1.15367	0.882914
0.103897	1.10547	1.15461	0.882099
0.104537	1.10612	1.15555	0.881282
0.105177	1.10677	1.15648	0.880464
0.105817	1.10742	1.15742	0.879644
0.106458	1.10807	1.15835	0.878823
0.107098	1.10873	1.15929	0.878001
0.107739	1.10938	1.16023	0.877177
0.10838	1.11003	1.16116	0.876352
0.109022	1.11068	1.1621	0.875525
