t_k	Y1	Y2	Y3
0.001	1.001	1.0015	0.998997
0.0021547	1.00216	1.00323	0.997837
0.0157992	1.0159	1.02368	0.983647
0.0364924	1.03687	1.05461	0.961019
0.0618174	1.06264	1.09222	0.931626
0.0879978	1.08926	1.13069	0.899382
0.101466	1.10293	1.15035	0.882294
0.117803	1.11944	1.17397	0.860824
0.13061	1.13232	1.19232	0.843533
0.144857	1.14655	1.2125	0.823728
0.157843	1.15942	1.23068	0.805198
0.171465	1.17278	1.2495	0.785236
0.184607	1.18553	1.26739	0.76549
0.198029	1.19838	1.28536	0.744815
0.21128	1.21088	1.30278	0.723911
0.224676	1.2233	1.32005	0.702279
0.238041	1.23545	1.33689	0.680205
0.251514	1.24744	1.35347	0.657458
0.265034	1.25919	1.36966	0.63414
0.278672	1.27071	1.38552	0.61013
0.292416	1.28199	1.40099	0.585445
0.30599	1.29276	1.41575	0.560601
0.319271	1.30293	1.42966	0.535861
0.33226	1.31252	1.44273	0.511265
0.34496	1.32151	1.45499	0.486847
0.357399	1.32995	1.46647	0.462587
0.369597	1.33785	1.4772	0.438479
0.38158	1.34524	1.48723	0.414505
0.393366	1.35213	1.49656	0.390655
0.404976	1.35854	1.50524	0.366914
0.416425	1.36449	1.51329	0.343274
0.427729	1.36998	1.52072	0.319723
0.438902	1.37504	1.52754	0.296255
0.449957	1.37967	1.53379	0.272861
0.460906	1.38387	1.53946	0.249536
0.471759	1.38767	1.54457	0.226273
0.482528	1.39105	1.54913	0.203068
0.493221	1.39404	1.55315	0.179914
0.503849	1.39664	1.55665	0.156809
0.51442	1.39884	1.55961	0.133748
0.524941	1.40066	1.56206	0.110727
0.535423	1.4021	1.56399	0.0877433
0.545871	1.40316	1.56542	0.0647936
0.556294	1.40384	1.56634	0.0418748
0.566699	1.40415	1.56675	0.0189843
0.577093	1.40409	1.56667	-0.00388069
0.587484	1.40365	1.56608	-0.0267227
0.597879	1.40285	1.565	-0.0495441
0.608285	1.40167	1.56342	-0.0723475
0.618709	1.40012	1.56134	-0.0951351
0.629158	1.3982	1.55875	-0.117909
0.639641	1.39591	1.55566	-0.140673
0.650164	1.39324	1.55207	-0.163428
0.660735	1.39019	1.54797	-0.186177
0.671363	1.38677	1.54335	-0.208923
0.682055	1.38296	1.53821	-0.231668
0.69282	1.37876	1.53254	-0.254415
0.703668	1.37417	1.52635	-0.277168
0.714608	1.36918	1.51961	-0.29993
0.72565	1.36379	1.51232	-0.322704
0.736805	1.358	1.50447	-0.345494
0.748084	1.35178	1.49604	-0.368305
0.759501	1.34514	1.48703	-0.391141
0.771068	1.33807	1.47742	-0.414007
0.7828	1.33054	1.46719	-0.436911
0.794713	1.32257	1.45632	-0.459857
0.806826	1.31412	1.4448	-0.482854
0.819157	1.30518	1.43258	-0.50591
0.831728	1.29574	1.41966	-0.529035
0.844565	1.28577	1.40598	-0.552241
0.857695	1.27526	1.39153	-0.57554
0.87115	1.26416	1.37625	-0.598949
0.884966	1.25247	1.36009	-0.622486
0.898664	1.24059	1.34364	-0.645319
0.912381	1.22844	1.32676	-0.667675
0.92598	1.21616	1.30966	-0.689336
0.93955	1.2037	1.29226	-0.710443
0.95305	1.19113	1.27462	-0.73094
0.966528	1.17841	1.25674	-0.7509
0.979976	1.16557	1.23862	-0.770315
0.993422	1.15263	1.22028	-0.789226
1.00687	1.13958	1.20171	-0.80764
